player_name,team,adj_offense,adj_defense,adj_overall,var,Offense Score,Defense Score,Overall Score,Offense Score,Defense Score,Overall Score,Disagreement Among Metrics,,,OL,OS,DL,DS,VL,VS,
Bennedict Mathurin,Los Angeles Clippers,-0.2,-0.3,-0.5,0.34,38,36,37,47,43,45,17%,,,,,,,,,
Jeremiah Fears,New Orleans Pelicans,0.3,-0.9,-0.5,0.53,43,26,37,52,31,45,27%,,,,,,,,,
Brandon Ingram,Toronto Raptors,-0.1,-0.5,-0.6,0.66,39,33,37,49,39,45,33%,,,,,,,,,
Al Horford,Golden State Warriors,-0.5,-0.1,-0.6,0.41,35,41,37,44,49,45,21%,,,,,,,,,
Jake LaRavia,Los Angeles Lakers,-0.4,-0.2,-0.6,0.60,36,38,37,45,46,44,30%,,,,,,,,,
Nikola Vucevic,Boston Celtics,-0.1,-0.4,-0.6,0.47,39,34,37,48,41,44,24%,,,,,,,,,
Mark Williams,Phoenix Suns,-0.7,0.1,-0.6,0.85,33,44,37,41,52,44,42%,,,,,,,,,
Matisse Thybulle,Portland Trail Blazers,-2.8,2.2,-0.6,0.33,13,83,37,16,86,44,17%,,,,,,,,,
Collin Sexton,Chicago Bulls,0.4,-1.0,-0.6,0.36,44,22,37,54,27,44,18%,,,,,,,,,
Mike Conley,Minnesota Timberwolves,-0.6,0.0,-0.6,0.52,34,42,37,42,50,44,26%,,,,,,,,,
Shaedon Sharpe,Portland Trail Blazers,-0.2,-0.5,-0.7,0.91,38,33,36,48,40,43,45%,,,,,,,,,
Ethan Thompson,Indiana Pacers,-1.1,0.4,-0.7,0.41,30,48,36,37,56,43,20%,,,,,,,,,
Jaime Jaquez Jr.,Miami Heat,-0.4,-0.3,-0.7,0.49,36,36,36,45,42,43,25%,,,,,,,,,
Jamir Watkins,Washington Wizards,-1.3,0.6,-0.7,0.46,27,53,36,34,60,43,23%,,,,,,,,,
Jay Huff,Indiana Pacers,-0.6,-0.2,-0.7,0.94,34,39,36,43,47,43,47%,,,,,,,,,
Rui Hachimura,Los Angeles Lakers,-0.7,-0.1,-0.8,0.50,33,41,36,42,49,43,25%,,,,,,,,,
Kentavious Caldwell-Pope,Memphis Grizzlies,-1.3,0.5,-0.8,0.33,28,52,36,35,58,43,16%,,,,,,,,,
Isaiah Jackson,Los Angeles Clippers,-0.6,-0.1,-0.8,0.68,34,39,36,43,47,43,34%,,,,,,,,,
Kobe Sanders,Los Angeles Clippers,-0.9,0.1,-0.8,0.78,31,44,36,39,52,42,39%,,,,,,,,,
Brandon Williams,Dallas Mavericks,0.0,-0.8,-0.8,0.44,40,28,36,50,33,42,22%,,,,,,,,,
Myles Turner,Milwaukee Bucks,-0.9,0.1,-0.8,0.13,32,44,36,39,52,42,6%,,,,,,,,,
Tristan da Silva,Orlando Magic,-1.2,0.4,-0.8,0.37,29,49,35,36,56,42,18%,,,,,,,,,
Harrison Barnes,San Antonio Spurs,0.5,-1.3,-0.8,0.22,45,17,35,54,21,42,11%,,,,,,,,,
Tyler Kolek,New York Knicks,-1.5,0.7,-0.8,0.64,25,55,35,32,61,42,32%,,,,,,,,,
Bogdan Bogdanovic,Los Angeles Clippers,-0.5,-0.3,-0.9,0.31,35,35,35,44,42,42,16%,,,,,,,,,
Nikola Jovic,Miami Heat,-1.8,0.9,-0.9,0.40,23,59,35,28,65,41,20%,,,,,,,,,
De'Andre Hunter,Sacramento Kings,-0.1,-0.8,-0.9,0.32,39,27,35,49,33,41,16%,,,,,,,,,
Marvin Bagley III,Dallas Mavericks,-0.3,-0.6,-0.9,0.55,37,31,35,46,37,41,28%,,,,,,,,,
Isaac Okoro,Chicago Bulls,-0.4,-0.5,-0.9,0.37,36,32,34,45,39,41,19%,,,,,,,,,
Carter Bryant,San Antonio Spurs,-1.6,0.6,-0.9,0.51,25,54,34,31,60,41,25%,,,,,,,,,
Jared McCain,Oklahoma City Thunder,-0.8,-0.1,-0.9,0.60,32,40,34,40,48,41,30%,,,,,,,,,
Jonas Valanciunas,Denver Nuggets,0.4,-1.3,-0.9,1.05,44,17,34,53,20,41,52%,,,,,,,,,
Craig Porter Jr.,Cleveland Cavaliers,-0.8,-0.1,-0.9,0.62,32,40,34,40,48,41,31%,,,,,,,,,
Karlo Matkovic,New Orleans Pelicans,-1.5,0.5,-0.9,0.62,26,52,34,32,59,41,31%,,,,,,,,,
Cameron Payne,Philadelphia 76ers,-1.2,0.3,-0.9,0.33,28,47,34,35,54,41,16%,,,,,,,,,
Dorian Finney-Smith,Houston Rockets,-1.6,0.6,-1.0,0.52,25,53,34,31,60,41,26%,,,,,,,,,
Ryan Kalkbrenner,Charlotte Hornets,-1.8,0.8,-1.0,0.27,23,57,34,29,63,41,13%,,,,,,,,,
Peyton Watson,Denver Nuggets,-0.9,-0.1,-1.0,1.29,32,39,34,40,47,40,64%,,,,,,,,,
Dylan Cardwell,Sacramento Kings,-1.6,0.6,-1.0,0.62,25,53,34,31,60,40,31%,,,,,,,,,
Oscar Tshiebwe,Utah Jazz,0.1,-1.1,-1.0,0.62,41,22,34,50,26,40,31%,,,,,,,,,
Andrew Wiggins,Miami Heat,-0.8,-0.3,-1.0,0.80,33,37,33,41,44,40,40%,,,,,,,,,
Kyshawn George,Washington Wizards,-1.2,0.2,-1.1,0.61,28,45,33,35,53,40,31%,,,,,,,,,
Kevin Love,Utah Jazz,0.0,-1.0,-1.1,0.44,40,23,33,49,27,40,22%,,,,,,,,,
Nic Claxton,Brooklyn Nets,-1.0,-0.1,-1.1,0.99,31,40,33,39,48,40,49%,,,,,,,,,
Trayce Jackson-Davis,Toronto Raptors,-1.5,0.4,-1.1,0.15,26,50,33,32,57,39,8%,,,,,,,,,
Mohamed Diawara,New York Knicks,-1.8,0.7,-1.1,0.33,23,55,33,28,61,39,16%,,,,,,,,,
Asa Newell,Atlanta Hawks,-0.7,-0.4,-1.1,0.58,33,35,33,41,42,39,29%,,,,,,,,,
Liam McNeeley,Charlotte Hornets,-1.2,0.1,-1.1,0.61,28,44,33,36,52,39,31%,,,,,,,,,
John Collins,Los Angeles Clippers,-0.6,-0.6,-1.1,0.30,35,31,33,43,38,39,15%,,,,,,,,,
Ayo Dosunmu,Minnesota Timberwolves,-0.5,-0.6,-1.1,0.51,35,31,33,44,37,39,25%,,,,,,,,,
Monte Morris,Indiana Pacers,-0.6,-0.5,-1.1,0.71,34,32,33,43,38,39,36%,,,,,,,,,
Johnny Furphy,Indiana Pacers,-1.7,0.6,-1.1,0.49,23,53,33,29,60,39,24%,,,,,,,,,
Nique Clifford,Sacramento Kings,-1.6,0.5,-1.1,0.52,25,50,33,31,57,39,26%,,,,,,,,,
Jamal Cain,Orlando Magic,-0.5,-0.7,-1.2,0.61,36,29,33,45,35,39,31%,,,,,,,,,
Haywood Highsmith,Phoenix Suns,-1.7,0.5,-1.2,0.26,24,51,32,30,58,38,13%,,,,,,,,,
A.J. Lawson,Toronto Raptors,-1.0,-0.2,-1.2,0.56,31,38,32,38,46,38,28%,,,,,,,,,
Marcus Sasser,Detroit Pistons,-1.5,0.3,-1.2,0.60,26,47,32,32,55,38,30%,,,,,,,,,
Jarred Vanderbilt,Los Angeles Lakers,-1.4,0.2,-1.2,0.67,27,45,32,33,53,38,34%,,,,,,,,,
Thomas Bryant,Cleveland Cavaliers,-0.6,-0.7,-1.2,0.23,35,29,32,43,35,38,12%,,,,,,,,,
Joan Beringer,Minnesota Timberwolves,-0.3,-0.9,-1.2,0.50,37,24,32,47,29,38,25%,,,,,,,,,
DeMar DeRozan,Sacramento Kings,1.0,-2.3,-1.2,0.62,50,0,32,58,0,38,31%,,,,,,,,,
Koby Brea,Phoenix Suns,-0.2,-1.0,-1.2,0.76,38,23,32,47,28,38,38%,,,,,,,,,
Kenrich Williams,Oklahoma City Thunder,-1.3,0.1,-1.3,0.59,27,43,32,34,51,38,29%,,,,,,,,,
T.J. McConnell,Indiana Pacers,-0.8,-0.4,-1.3,0.73,32,34,32,40,40,38,37%,,,,,,,,,
Reed Sheppard,Houston Rockets,-1.0,-0.3,-1.3,1.30,31,36,32,38,43,38,65%,,,,,,,,,
DaRon Holmes II,Denver Nuggets,-0.9,-0.4,-1.3,0.46,31,35,31,39,42,38,23%,,,,,,,,,
Dwight Powell,Dallas Mavericks,-1.5,0.1,-1.3,0.55,26,45,31,33,52,37,27%,,,,,,,,,
Blake Hinson,Utah Jazz,-0.6,-0.7,-1.3,0.82,34,28,31,43,34,37,41%,,,,,,,,,
GG Jackson,Memphis Grizzlies,-0.2,-1.2,-1.3,0.59,39,20,31,48,24,37,30%,,,,,,,,,
Precious Achiuwa,Sacramento Kings,-1.2,-0.1,-1.3,0.38,28,40,31,35,47,37,19%,,,,,,,,,
Scoot Henderson,Portland Trail Blazers,-1.0,-0.4,-1.4,0.22,31,35,31,38,41,37,11%,,,,,,,,,
David Jones Garcia,San Antonio Spurs,-1.2,-0.1,-1.4,0.38,28,39,31,35,47,37,19%,,,,,,,,,
Yves Missi,New Orleans Pelicans,-0.8,-0.6,-1.4,1.00,32,31,30,40,37,36,50%,,,,,,,,,
Brice Sensabaugh,Utah Jazz,0.4,-1.8,-1.4,0.53,44,8,30,53,9,36,27%,,,,,,,,,
Jamaree Bouyea,Phoenix Suns,-2.1,0.7,-1.4,0.12,20,54,30,25,61,36,6%,,,,,,,,,
Ryan Nembhard,Dallas Mavericks,-1.5,0.1,-1.4,0.99,25,44,30,32,52,36,50%,,,,,,,,,
Micah Peavy,New Orleans Pelicans,-1.6,0.2,-1.5,0.60,24,45,30,30,53,36,30%,,,,,,,,,
Ziaire Williams,Brooklyn Nets,-2.3,0.9,-1.5,0.53,18,58,30,22,64,36,26%,,,,,,,,,
Ace Bailey,Utah Jazz,-0.3,-1.1,-1.5,0.29,37,21,30,46,25,36,15%,,,,,,,,,
Khaman Maluach,Phoenix Suns,-2.1,0.6,-1.5,0.49,20,53,30,25,60,36,25%,,,,,,,,,
Tolu Smith,Detroit Pistons,-1.3,-0.2,-1.5,0.42,28,38,30,35,45,36,21%,,,,,,,,,
Klay Thompson,Dallas Mavericks,-0.9,-0.6,-1.5,0.70,32,31,30,39,37,35,35%,,,,,,,,,
Lachlan Olbrich,Chicago Bulls,-1.2,-0.3,-1.5,0.53,28,36,30,35,44,35,27%,,,,,,,,,
Moussa Cisse,Dallas Mavericks,-1.6,0.0,-1.5,0.69,25,43,29,31,51,35,34%,,,,,,,,,
Buddy Boeheim,Oklahoma City Thunder,-0.9,-0.6,-1.5,0.33,31,31,29,39,37,35,16%,,,,,,,,,
Tyler Smith,Dallas Mavericks,-1.3,-0.2,-1.5,0.52,27,38,29,34,45,35,26%,,,,,,,,,
Caris LeVert,Detroit Pistons,-1.8,0.2,-1.5,0.84,23,46,29,29,54,35,42%,,,,,,,,,
Branden Carlson,Oklahoma City Thunder,-0.5,-1.0,-1.5,0.60,35,23,29,44,27,35,30%,,,,,,,,,
Jordan Miller,Los Angeles Clippers,-0.9,-0.7,-1.5,0.36,32,29,29,40,35,35,18%,,,,,,,,,
Bradley Beal,Los Angeles Clippers,-0.4,-1.1,-1.5,0.68,36,21,29,45,25,35,34%,,,,,,,,,
Julian Phillips,Minnesota Timberwolves,-1.7,0.2,-1.6,0.65,23,45,29,29,53,35,33%,,,,,,,,,
Tristen Newton,Houston Rockets,-1.0,-0.6,-1.6,0.56,31,31,29,38,38,35,28%,,,,,,,,,
Jerami Grant,Portland Trail Blazers,-0.4,-1.2,-1.6,0.55,36,20,29,45,24,35,28%,,,,,,,,,
Spencer Jones,Denver Nuggets,-2.2,0.6,-1.6,0.55,19,53,29,24,60,35,28%,,,,,,,,,
Alex Sarr,Washington Wizards,-1.5,-0.1,-1.6,0.89,26,40,29,32,48,35,44%,,,,,,,,,
Trevor Keels,Miami Heat,-1.2,-0.4,-1.6,0.40,29,35,29,36,41,35,20%,,,,,,,,,
Jabari Walker,Philadelphia 76ers,-1.6,0.0,-1.6,0.43,25,42,29,31,50,35,21%,,,,,,,,,
Dalen Terry,Philadelphia 76ers,-2.3,0.7,-1.6,0.47,18,55,29,22,62,35,24%,,,,,,,,,
Lindy Waters III,San Antonio Spurs,-1.4,-0.2,-1.6,0.40,27,38,29,33,45,34,20%,,,,,,,,,
Danny Wolf,Brooklyn Nets,-2.2,0.6,-1.6,0.54,19,53,29,24,59,34,27%,,,,,,,,,
Keshad Johnson,Miami Heat,-1.4,-0.2,-1.6,0.58,27,37,29,34,45,34,29%,,,,,,,,,
Olivier-Maxence Prosper,Memphis Grizzlies,-0.9,-0.7,-1.6,0.81,31,29,29,39,35,34,40%,,,,,,,,,
Zach LaVine,Sacramento Kings,0.1,-1.8,-1.6,0.61,41,9,29,51,11,34,31%,,,,,,,,,
Jalen Pickett,Denver Nuggets,-1.8,0.2,-1.6,0.98,23,45,29,28,53,34,49%,,,,,,,,,
Chucky Hepburn,Toronto Raptors,-1.2,-0.5,-1.6,0.40,29,33,29,36,40,34,20%,,,,,,,,,
Kelly Oubre Jr.,Philadelphia 76ers,-0.7,-1.0,-1.6,0.38,34,24,29,42,29,34,19%,,,,,,,,,
Tim Hardaway Jr.,Denver Nuggets,-0.3,-1.4,-1.7,0.44,38,16,28,47,19,34,22%,,,,,,,,,
Mark Sears,Milwaukee Bucks,-0.9,-0.8,-1.7,0.44,32,28,28,39,33,34,22%,,,,,,,,,
Jase Richardson,Orlando Magic,-1.3,-0.4,-1.7,0.37,28,34,28,35,41,34,19%,,,,,,,,,
Adem Bona,Philadelphia 76ers,-1.6,-0.1,-1.7,0.35,25,41,28,31,49,34,18%,,,,,,,,,
Keyonte George,Utah Jazz,1.0,-2.7,-1.7,0.79,50,-8,28,58,-9,34,39%,,,,,,,,,
RayJ Dennis,Atlanta Hawks,-1.3,-0.4,-1.7,0.29,27,35,28,34,42,34,15%,,,,,,,,,
Gradey Dick,Toronto Raptors,-1.9,0.2,-1.7,0.85,22,46,28,27,54,34,42%,,,,,,,,,
Tre Johnson,Washington Wizards,-1.2,-0.5,-1.7,0.86,29,33,28,36,39,33,43%,,,,,,,,,
Bobi Klintman,Detroit Pistons,-1.5,-0.2,-1.7,0.57,26,38,28,32,46,33,29%,,,,,,,,,
Cam Christie,Los Angeles Clippers,-2.6,0.8,-1.7,0.22,16,57,28,20,63,33,11%,,,,,,,,,
Will Richard,Golden State Warriors,-2.0,0.2,-1.7,0.49,21,46,28,26,54,33,25%,,,,,,,,,
Ben Sheppard,Indiana Pacers,-1.1,-0.6,-1.7,0.52,29,31,28,37,37,33,26%,,,,,,,,,
Noah Penda,Orlando Magic,-1.4,-0.4,-1.7,0.65,27,35,28,34,42,33,33%,,,,,,,,,
Jae'Sean Tate,Houston Rockets,-2.0,0.2,-1.8,0.66,21,46,28,26,54,33,33%,,,,,,,,,
Pat Connaughton,Charlotte Hornets,-1.7,-0.1,-1.8,0.62,24,40,28,30,48,33,31%,,,,,,,,,
Isaiah Stewart,Detroit Pistons,-1.9,0.2,-1.8,0.51,22,45,28,27,53,33,25%,,,,,,,,,
Buddy Hield,Atlanta Hawks,-0.7,-1.1,-1.8,0.05,33,22,27,42,26,33,3%,,,,,,,,,
Zach Collins,Chicago Bulls,-1.7,-0.1,-1.8,0.59,24,40,27,30,47,33,30%,,,,,,,,,
Cam Whitmore,Washington Wizards,-0.9,-0.9,-1.8,0.23,31,26,27,39,31,33,11%,,,,,,,,,
Curtis Jones,Denver Nuggets,-1.4,-0.4,-1.8,0.29,27,34,27,34,40,33,15%,,,,,,,,,
Sidy Cissoko,Portland Trail Blazers,-2.7,0.9,-1.8,0.25,14,59,27,18,65,32,12%,,,,,,,,,
JD Davison,Houston Rockets,-1.6,-0.2,-1.8,0.39,25,38,27,31,45,32,19%,,,,,,,,,
Sean Pedulla,Los Angeles Clippers,-1.0,-0.8,-1.8,0.78,31,27,27,38,32,32,39%,,,,,,,,,
Jevon Carter,Orlando Magic,-1.2,-0.6,-1.8,0.71,29,30,27,36,36,32,35%,,,,,,,,,
Garrison Mathews,Indiana Pacers,-1.3,-0.5,-1.8,0.61,27,33,27,34,39,32,31%,,,,,,,,,
Tristan Vukcevic,Washington Wizards,-0.9,-0.9,-1.8,0.56,31,25,27,39,30,32,28%,,,,,,,,,
LJ Cryer,Golden State Warriors,-1.2,-0.7,-1.8,0.75,29,30,27,36,36,32,37%,,,,,,,,,
Terance Mann,Brooklyn Nets,-0.9,-0.9,-1.8,0.32,31,25,27,39,30,32,16%,,,,,,,,,
Luke Kennard,Los Angeles Lakers,-0.5,-1.4,-1.8,0.37,36,16,27,44,20,32,18%,,,,,,,,,
Kelly Olynyk,San Antonio Spurs,-0.9,-0.9,-1.8,0.33,31,25,27,39,29,32,17%,,,,,,,,,
Chris Youngblood,Portland Trail Blazers,-1.1,-0.8,-1.9,0.63,30,28,27,37,33,32,32%,,,,,,,,,
Guerschon Yabusele,Chicago Bulls,-0.7,-1.2,-1.9,0.38,33,20,27,42,24,32,19%,,,,,,,,,
Pacome Dadiet,New York Knicks,-1.7,-0.2,-1.9,0.51,24,38,27,30,46,32,26%,,,,,,,,,
Cam Thomas,Milwaukee Bucks,0.9,-2.7,-1.9,0.32,48,-9,27,57,-10,32,16%,,,,,,,,,
Khris Middleton,Dallas Mavericks,-0.4,-1.5,-1.9,0.73,37,14,27,46,16,32,36%,,,,,,,,,
Micah Potter,Indiana Pacers,-0.9,-0.9,-1.9,0.60,31,24,27,39,29,32,30%,,,,,,,,,
John Poulakidas,Dallas Mavericks,-1.5,-0.4,-1.9,0.49,26,34,26,32,41,32,24%,,,,,,,,,
Noa Essengue,Chicago Bulls,-1.3,-0.6,-1.9,0.46,27,31,26,34,37,31,23%,,,,,,,,,
Andre Drummond,Philadelphia 76ers,-1.8,-0.1,-1.9,0.59,23,40,26,29,47,31,29%,,,,,,,,,
PJ Hall,Charlotte Hornets,-1.7,-0.3,-1.9,0.34,24,37,26,30,44,31,17%,,,,,,,,,
Taylor Hendricks,Memphis Grizzlies,-1.6,-0.4,-1.9,0.24,25,35,26,31,42,31,12%,,,,,,,,,
Alex Antetokounmpo,Milwaukee Bucks,-1.2,-0.8,-1.9,0.71,29,28,26,36,33,31,36%,,,,,,,,,
Yuki Kawamura,Chicago Bulls,-1.0,-0.9,-2.0,0.48,30,25,26,38,30,31,24%,,,,,,,,,
Royce O'Neale,Phoenix Suns,-1.2,-0.7,-2.0,0.26,28,28,26,35,34,31,13%,,,,,,,,,
Jett Howard,Orlando Magic,-1.1,-0.9,-2.0,0.34,29,26,26,36,31,31,17%,,,,,,,,,
Chaz Lanier,Detroit Pistons,-1.6,-0.4,-2.0,0.42,25,35,26,31,41,31,21%,,,,,,,,,
Kyle Anderson,Minnesota Timberwolves,-3.1,1.1,-2.0,0.19,10,63,26,12,68,31,10%,,,,,,,,,
Zaccharie Risacher,Atlanta Hawks,-1.3,-0.7,-2.0,0.44,28,29,26,34,34,30,22%,,,,,,,,,
Yanic Konan Niederhauser,Los Angeles Clippers,-1.9,-0.1,-2.0,0.47,22,40,26,27,48,30,24%,,,,,,,,,
Tosan Evbuomwan,Charlotte Hornets,-2.0,0.0,-2.0,0.34,21,42,26,26,50,30,17%,,,,,,,,,
Derik Queen,New Orleans Pelicans,-0.9,-1.1,-2.0,0.56,31,22,25,39,26,30,28%,,,,,,,,,
Terrence Shannon Jr.,Minnesota Timberwolves,-0.8,-1.2,-2.0,0.60,32,19,25,40,23,30,30%,,,,,,,,,
Riley Minix,Cleveland Cavaliers,-1.3,-0.7,-2.1,0.48,28,28,25,34,34,30,24%,,,,,,,,,
Nikola Topic,Oklahoma City Thunder,-1.2,-0.8,-2.1,0.72,29,26,25,36,31,30,36%,,,,,,,,,
Draymond Green,Golden State Warriors,-2.8,0.7,-2.1,0.28,13,55,25,17,61,30,14%,,,,,,,,,
Bilal Coulibaly,Washington Wizards,-1.9,-0.1,-2.1,0.71,22,39,25,27,47,30,36%,,,,,,,,,
Caleb Love,Portland Trail Blazers,-1.3,-0.8,-2.1,0.43,28,27,25,35,32,30,22%,,,,,,,,,
Dennis Schroder,Cleveland Cavaliers,-1.3,-0.8,-2.1,0.21,28,27,25,34,33,30,10%,,,,,,,,,
Daeqwon Plowden,Sacramento Kings,-0.9,-1.2,-2.1,0.78,32,19,25,40,23,30,39%,,,,,,,,,
Deandre Ayton,Los Angeles Lakers,-1.5,-0.6,-2.1,0.49,26,31,25,32,37,30,25%,,,,,,,,,
Jordan Clarkson,New York Knicks,-0.9,-1.2,-2.1,0.69,32,19,25,40,22,30,35%,,,,,,,,,
Nicolas Batum,Los Angeles Clippers,-2.1,0.0,-2.1,0.61,20,42,25,25,50,29,31%,,,,,,,,,
Max Christie,Dallas Mavericks,-1.9,-0.2,-2.1,0.59,22,38,25,27,45,29,30%,,,,,,,,,
Jordan Poole,New Orleans Pelicans,-0.7,-1.4,-2.1,0.62,34,15,25,42,18,29,31%,,,,,,,,,
Bobby Portis,Milwaukee Bucks,-0.7,-1.4,-2.1,0.65,33,16,25,41,19,29,33%,,,,,,,,,
Orlando Robinson,Orlando Magic,-1.5,-0.6,-2.1,0.40,26,30,25,32,36,29,20%,,,,,,,,,
Corey Kispert,Atlanta Hawks,-0.7,-1.4,-2.1,0.28,33,16,24,41,19,29,14%,,,,,,,,,
Cole Anthony,Phoenix Suns,-2.1,0.0,-2.1,0.59,20,41,24,25,49,29,30%,,,,,,,,,
Justin Edwards,Philadelphia 76ers,-0.7,-1.4,-2.1,0.42,33,15,24,42,18,29,21%,,,,,,,,,
Jalen Slawson,Indiana Pacers,-1.8,-0.3,-2.2,0.50,22,36,24,28,43,29,25%,,,,,,,,,
Jaden Hardy,Washington Wizards,-1.1,-1.1,-2.2,0.36,30,22,24,37,26,29,18%,,,,,,,,,
Chaney Johnson,Brooklyn Nets,-1.9,-0.3,-2.2,0.60,22,36,24,27,43,29,30%,,,,,,,,,
Colin Castleton,Orlando Magic,-1.9,-0.3,-2.2,0.41,22,37,24,27,44,28,20%,,,,,,,,,
Tyus Jones,Denver Nuggets,-0.9,-1.3,-2.2,0.55,31,18,24,39,21,28,28%,,,,,,,,,
Miles Kelly,Dallas Mavericks,-1.6,-0.6,-2.2,0.41,25,30,24,31,36,28,20%,,,,,,,,,
Seth Curry,Golden State Warriors,-1.0,-1.2,-2.2,0.35,30,19,24,38,23,28,17%,,,,,,,,,
Ochai Agbaji,Brooklyn Nets,-2.3,0.1,-2.2,0.47,18,44,24,22,52,28,23%,,,,,,,,,
Ousmane Dieng,Milwaukee Bucks,-1.6,-0.6,-2.2,0.53,24,31,24,30,37,28,26%,,,,,,,,,
Caleb Houstan,Atlanta Hawks,-2.1,-0.1,-2.2,0.31,20,39,24,25,47,28,16%,,,,,,,,,
Keaton Wallace,Atlanta Hawks,-2.3,0.1,-2.3,0.24,18,43,24,22,51,28,12%,,,,,,,,,
KJ Simpson,Denver Nuggets,-2.3,0.0,-2.3,0.38,18,42,23,23,50,28,19%,,,,,,,,,
Alijah Martin,Toronto Raptors,-1.8,-0.5,-2.3,0.52,23,33,23,28,40,28,26%,,,,,,,,,
Cody Martin,Indiana Pacers,-2.9,0.6,-2.3,0.75,12,53,23,16,60,28,38%,,,,,,,,,
Julian Strawther,Denver Nuggets,-1.8,-0.5,-2.3,0.31,23,33,23,28,40,28,15%,,,,,,,,,
Vit Krejci,Portland Trail Blazers,-1.9,-0.4,-2.3,0.61,21,35,23,27,42,28,31%,,,,,,,,,
Bryce McGowens,New Orleans Pelicans,-1.4,-0.9,-2.3,0.33,27,25,23,33,30,27,17%,,,,,,,,,
Tony Bradley,Atlanta Hawks,-1.8,-0.5,-2.3,0.75,23,33,23,28,39,27,37%,,,,,,,,,
Hunter Tyson,Brooklyn Nets,-1.8,-0.5,-2.3,0.91,23,32,23,28,39,27,46%,,,,,,,,,
Tristan Enaruna,Cleveland Cavaliers,-1.8,-0.6,-2.3,0.76,23,32,23,29,38,27,38%,,,,,,,,,
Tyrese Martin,Philadelphia 76ers,-1.9,-0.4,-2.3,0.64,22,34,23,27,41,27,32%,,,,,,,,,
Mac McClung,Chicago Bulls,-1.0,-1.3,-2.3,0.82,30,18,23,38,21,27,41%,,,,,,,,,
John Tonje,Boston Celtics,-1.8,-0.5,-2.3,0.57,23,32,23,29,38,27,28%,,,,,,,,,
Gabe Vincent,Atlanta Hawks,-1.8,-0.5,-2.4,0.24,23,32,23,28,39,27,12%,,,,,,,,,
Jordan McLaughlin,San Antonio Spurs,-2.3,-0.1,-2.4,0.81,19,40,23,23,48,27,40%,,,,,,,,,
Drew Peterson,Charlotte Hornets,-1.8,-0.6,-2.4,0.43,23,32,23,28,38,27,22%,,,,,,,,,
MarJon Beauchamp,Philadelphia 76ers,-2.1,-0.3,-2.4,0.31,20,37,22,24,44,27,16%,,,,,,,,,
Johnny Juzang,Minnesota Timberwolves,-1.5,-0.9,-2.5,0.76,26,24,22,32,29,26,38%,,,,,,,,,
Kennedy Chandler,Utah Jazz,-1.3,-1.1,-2.5,0.46,27,21,22,34,25,26,23%,,,,,,,,,
Emanuel Miller,San Antonio Spurs,-1.6,-0.9,-2.5,0.43,25,26,22,31,31,26,22%,,,,,,,,,
Noah Clowney,Brooklyn Nets,-1.9,-0.6,-2.5,0.62,22,31,22,27,37,26,31%,,,,,,,,,
Colby Jones,Detroit Pistons,-2.4,-0.1,-2.5,0.26,17,40,22,22,48,26,13%,,,,,,,,,
Patrick Baldwin Jr.,Sacramento Kings,-2.1,-0.4,-2.5,0.74,20,35,22,25,41,26,37%,,,,,,,,,
Luke Travers,Cleveland Cavaliers,-1.7,-0.8,-2.5,0.54,24,28,22,29,33,26,27%,,,,,,,,,
Johni Broome,Philadelphia 76ers,-1.7,-0.8,-2.5,0.49,24,28,22,29,33,26,24%,,,,,,,,,
Dario Saric,Detroit Pistons,-2.1,-0.4,-2.5,0.57,20,34,22,25,41,26,29%,,,,,,,,,
Kevin McCullar Jr.,New York Knicks,-2.2,-0.3,-2.5,0.36,19,36,21,24,43,26,18%,,,,,,,,,
Trentyn Flowers,Chicago Bulls,-1.8,-0.7,-2.5,0.51,23,29,21,28,34,25,26%,,,,,,,,,
Christian Koloko,Atlanta Hawks,-3.0,0.5,-2.5,0.40,11,51,21,14,57,25,20%,,,,,,,,,
Kobe Bufkin,Los Angeles Lakers,-1.9,-0.6,-2.5,0.36,22,31,21,27,37,25,18%,,,,,,,,,
Antonio Reeves,Charlotte Hornets,-1.8,-0.8,-2.6,0.45,23,28,21,28,33,25,23%,,,,,,,,,
Cormac Ryan,Milwaukee Bucks,-1.4,-1.2,-2.6,0.30,27,20,21,33,24,25,15%,,,,,,,,,
Kadary Richmond,Washington Wizards,-2.4,-0.3,-2.6,0.78,18,37,20,22,44,24,39%,,,,,,,,,
Ariel Hukporti,New York Knicks,-3.5,0.8,-2.6,0.39,7,57,20,9,63,24,19%,,,,,,,,,
Hayden Gray,Utah Jazz,-1.9,-0.7,-2.6,0.84,22,29,20,27,34,24,42%,,,,,,,,,
N'Faly Dante,Atlanta Hawks,-2.3,-0.4,-2.7,0.57,19,34,20,23,41,24,28%,,,,,,,,,
Jahmir Young,Miami Heat,-1.7,-1.0,-2.7,0.59,24,23,20,29,28,24,30%,,,,,,,,,
Duop Reath,Atlanta Hawks,-2.0,-0.7,-2.7,0.56,21,28,20,26,33,24,28%,,,,,,,,,
Jayson Kent,Portland Trail Blazers,-2.2,-0.5,-2.7,0.62,19,33,20,23,39,24,31%,,,,,,,,,
Javonte Cooke,Portland Trail Blazers,-2.0,-0.7,-2.7,0.67,21,29,20,26,35,24,33%,,,,,,,,,
Maxime Raynaud,Sacramento Kings,-1.1,-1.7,-2.7,0.48,30,11,20,37,13,23,24%,,,,,,,,,
